Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Not community focused_Implemented
Cooperatives,0.25,NA,NA,NA,NA,NA
Coordination and organization,NA,1,0.17,0.09,NA,NA
Diversify livelihoods,NA,NA,0.17,NA,NA,NA
Dynamic ocean management,NA,NA,0.17,NA,NA,NA
Economic/community development,NA,NA,NA,NA,0.5,NA
Education,0.25,NA,NA,0.09,NA,NA
"Financial assistance or investment for entering,",NA,NA,NA,0.09,NA,NA
Individual property rights,NA,NA,NA,NA,NA,1
Investment in new gear or innovations,0.25,NA,0.17,NA,NA,NA
Market diversification,NA,NA,NA,NA,0.5,NA
MPAs,NA,NA,NA,0.18,NA,NA
Reductions in other stressors,NA,NA,NA,0.09,NA,NA
Research,NA,NA,0.33,0.09,NA,NA
Restoration,NA,NA,NA,0.09,NA,NA
Review programs / regulations,NA,NA,NA,0.18,NA,NA
Transition out of fisheries,0.25,NA,NA,0.09,NA,NA
