Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Adaptation programs,CC,N,NA,NA,NA,NA
Adaptation programs,CC,Y,NA,NA,NA,NA
Adaptation programs,N,N,NA,NA,NA,NA
Adaptation programs,N,Y,NA,NA,NA,NA
Community-based rights,CC,N,NA,NA,NA,NA
Community-based rights,CC,Y,NA,NA,NA,NA
Community-based rights,N,N,NA,NA,NA,NA
Community-based rights,N,Y,NA,NA,NA,NA
Cooperatives,CC,N,NA,NA,NA,NA
Cooperatives,CC,Y,NA,NA,NA,NA
Cooperatives,N,N,NA,NA,NA,NA
Cooperatives,N,Y,NA,NA,NA,NA
Coordination and organization,CC,N,NA,NA,NA,NA
Coordination and organization,CC,Y,NA,NA,NA,NA
Coordination and organization,N,N,NA,NA,NA,NA
Coordination and organization,N,Y,NA,NA,NA,NA
Disaster funds,CC,N,NA,NA,NA,NA
Disaster funds,CC,Y,NA,NA,NA,NA
Disaster funds,N,Y,NA,NA,NA,NA
Disaster risk management,CC,N,NA,NA,NA,NA
Disaster risk management,CC,Y,NA,NA,NA,NA
Disaster risk management,N,N,NA,NA,NA,NA
Disaster risk management,N,Y,NA,NA,NA,NA
Diversify livelihoods,CC,N,0.667,0,0,0.333
Diversify livelihoods,CC,Y,NA,NA,NA,NA
Diversify livelihoods,N,N,NA,NA,NA,NA
Diversify livelihoods,N,Y,0,0,0,1
Dynamic ocean management,CC,N,1,0,0,0
Dynamic ocean management,CC,Y,NA,NA,NA,NA
Dynamic ocean management,N,N,NA,NA,NA,NA
Dynamic ocean management,N,Y,0.5,0,0.5,0
Economic/community development,CC,N,NA,NA,NA,NA
Economic/community development,N,N,NA,NA,NA,NA
Economic/community development,N,Y,NA,NA,NA,NA
Education,CC,N,NA,NA,NA,NA
Education,CC,Y,NA,NA,NA,NA
Education,N,N,NA,NA,NA,NA
Education,N,Y,0,0,1,0
Enforcement,CC,N,1,0,0,0
Enforcement,CC,Y,1,0,0,0
Enforcement,N,N,1,0,0,0
Enforcement,N,Y,1,0,0,0
Fair trade laws,CC,N,NA,NA,NA,NA
Fair trade laws,N,Y,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,N,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,Y,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,N,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,Y,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,CC,N,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,N,N,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,N,Y,1,0,0,0
Financial assistance to help transition out of fishery,CC,N,NA,NA,NA,NA
Financial assistance to help transition out of fishery,N,N,NA,NA,NA,NA
Financial assistance to help transition out of fishery,N,Y,NA,NA,NA,NA
Individual property rights,CC,N,NA,NA,NA,NA
Individual property rights,CC,Y,NA,NA,NA,NA
Individual property rights,N,N,NA,NA,NA,NA
Individual property rights,N,Y,NA,NA,NA,NA
Insurance,CC,N,NA,NA,NA,NA
Insurance,CC,Y,NA,NA,NA,NA
Insurance,N,N,NA,NA,NA,NA
Insurance,N,Y,NA,NA,NA,NA
International agreements,CC,N,NA,NA,NA,NA
International agreements,CC,Y,NA,NA,NA,NA
International agreements,N,N,NA,NA,NA,NA
International agreements,N,Y,1,0,0,0
Investment in new gear or innovations,CC,N,1,0,0,0
Investment in new gear or innovations,CC,Y,1,0,0,0
Investment in new gear or innovations,N,N,1,0,0,0
Investment in new gear or innovations,N,Y,0.6,0,0.2,0.2
Investments to improve value chain,CC,N,1,0,0,0
Investments to improve value chain,CC,Y,NA,NA,NA,NA
Investments to improve value chain,N,N,1,0,0,0
Investments to improve value chain,N,Y,0.333,0.333,0,0.333
Market diversification,CC,N,1,0,0,0
Market diversification,CC,Y,NA,NA,NA,NA
Market diversification,N,N,1,0,0,0
Market diversification,N,Y,NA,NA,NA,NA
MPAs,CC,N,NA,NA,NA,NA
MPAs,CC,Y,1,0,0,0
MPAs,N,N,1,0,0,0
MPAs,N,Y,0.667,0,0.333,0
Permit/license/quota banks,CC,Y,NA,NA,NA,NA
Permit/license/quota banks,N,N,NA,NA,NA,NA
Permit/license/quota banks,N,Y,NA,NA,NA,NA
Reductions in other stressors,CC,N,NA,NA,NA,NA
Reductions in other stressors,CC,Y,1,0,0,0
Reductions in other stressors,N,N,NA,NA,NA,NA
Reductions in other stressors,N,Y,1,0,0,0
Research,CC,N,1,0,0,0
Research,CC,Y,1,0,0,0
Research,N,N,NA,NA,NA,NA
Research,N,Y,0.333,0,0.333,0.333
Restoration,CC,N,NA,NA,NA,NA
Restoration,CC,Y,NA,NA,NA,NA
Restoration,N,N,1,0,0,0
Restoration,N,Y,0.667,0.333,0,0
Review programs / regulations,CC,N,1,0,0,0
Review programs / regulations,CC,Y,NA,NA,NA,NA
Review programs / regulations,N,N,NA,NA,NA,NA
Review programs / regulations,N,Y,NA,NA,NA,NA
Transition out of fisheries,CC,N,NA,NA,NA,NA
Transition out of fisheries,CC,Y,NA,NA,NA,NA
Transition out of fisheries,N,N,1,0,0,0
Transition out of fisheries,N,Y,1,0,0,0
